Frame	RMSE
456	0.8383
457	0.8383
458	0.7594
459	0.6584
460	0.7205
461	0.6628
462	0.6181
463	0.6916
464	0.6100
465	0.5813
466	0.5799
467	0.5885
468	0.5764
469	0.6278
470	0.6217
471	0.6309
472	0.6978
473	0.7118
474	0.7012
475	0.6643
476	0.6751
477	0.6757
478	0.6687
479	0.6863
480	0.6907
481	0.7026
482	0.6881
483	0.6581
484	0.7269
485	0.7356
486	0.6939
487	0.7181
488	0.6789
489	0.7103
490	0.7182
491	0.7491
492	0.6849
493	0.7402
494	0.7295
495	0.6828
496	0.6934
497	0.7185
498	0.6864
499	0.6892
500	0.6539
501	0.6490
502	0.6430
503	0.6977
504	0.6753
505	0.6878
506	0.7208
507	0.7113
508	0.7022
509	0.6396
510	0.6536
511	0.6546
512	0.7242
513	0.6579
514	0.7540
515	0.7706
516	0.7674
517	0.7818
518	0.7693
519	0.7489
520	0.7428
521	0.8368
522	0.8756
523	0.9080
524	0.8757
525	0.8476
526	0.7436
527	0.6845
528	0.7135
529	0.7149
530	0.7143
531	0.7563
