Frame	RMSE
456	0.7800
457	0.7801
458	0.7038
459	0.6347
460	0.6438
461	0.5967
462	0.5926
463	0.5906
464	0.5909
465	0.5659
466	0.5655
467	0.5758
468	0.5837
469	0.5960
470	0.5731
471	0.5814
472	0.5998
473	0.5828
474	0.5647
475	0.5612
476	0.5801
477	0.5864
478	0.5785
479	0.5924
480	0.6204
481	0.6180
482	0.6244
483	0.6117
484	0.6284
485	0.6335
486	0.6315
487	0.6197
488	0.6150
489	0.6312
490	0.6384
491	0.6380
492	0.6308
493	0.6485
494	0.6317
495	0.6359
496	0.6271
497	0.6235
498	0.6333
499	0.6305
500	0.6098
501	0.6297
502	0.6382
503	0.6433
504	0.6532
505	0.6434
506	0.6477
507	0.6561
508	0.6407
509	0.6322
510	0.6308
511	0.6324
512	0.6610
513	0.6478
514	0.6907
515	0.6939
516	0.7030
517	0.7261
518	0.7181
519	0.7234
520	0.6878
521	0.7044
522	0.6956
523	0.7965
524	0.7392
525	0.7888
526	0.6859
527	0.6274
528	0.6515
529	0.6619
530	0.6873
531	0.7024
