Frame	RMSE
456	0.5949
457	0.5833
458	0.6012
459	0.5971
460	0.5908
461	0.5780
462	0.6089
463	0.5995
464	0.6272
465	0.5898
466	0.5386
467	0.5592
468	0.5936
469	0.5831
470	0.6011
471	0.5996
472	0.6215
473	0.6103
474	0.6064
475	0.5981
476	0.6594
477	0.5782
478	0.5818
479	0.6304
480	0.6376
481	0.6192
482	0.6112
483	0.5635
484	0.5999
485	0.6010
486	0.5608
487	0.6367
488	0.6227
489	0.5960
490	0.6069
491	0.5816
492	0.6077
493	0.5685
494	0.5933
495	0.6132
496	0.5987
497	0.5890
