Frame	RMSE
456	0.6586
457	0.6380
458	0.6334
459	0.6522
460	0.6489
461	0.6658
462	0.6681
463	0.6743
464	0.6831
465	0.6703
466	0.6442
467	0.6432
468	0.6390
469	0.6489
470	0.6649
471	0.6601
472	0.6666
473	0.6663
474	0.6542
475	0.6595
476	0.6577
477	0.6514
478	0.6568
479	0.6540
480	0.6705
481	0.6726
482	0.6624
483	0.6543
484	0.6460
485	0.6585
486	0.6599
487	0.6644
488	0.6673
489	0.6654
490	0.6667
491	0.6543
492	0.6575
493	0.6583
494	0.6633
495	0.6761
496	0.6577
497	0.6615
